HeightDiff,WeightDiff,ReachDiff,WinDiff,ExpDiff,DrawDiff,LossDiff,Winner
0.0,0.0,0.0,-0.06534090909090906,10,0.0,0.06534090909090909,1
-1.0,0.0,-2.0,-0.15909090909090906,2,0.041666666666666664,0.11742424242424243,1
0.0,0.0,-3.0,-0.20320855614973254,-5,0.0,0.20320855614973263,1
-3.0,-20.0,-3.0,0.06597222222222221,23,0.0,-0.06597222222222221,1
0.0,-20.0,1.0,0.14529914529914534,17,0.0,-0.14529914529914528,0
0.0,-20.0,1.0,0.14529914529914534,17,0.0,-0.14529914529914528,1
-2.0,0.0,-1.0,-0.03418803418803418,30,0.02564102564102564,0.008547008547008572,1
-12.0,-80.0,-14.0,-0.12777777777777777,11,0.1,0.02777777777777779,1
-4.0,-20.0,-5.0,-0.05902777777777779,23,0.0,0.05902777777777779,1
-4.0,-35.0,-3.0,-0.0935672514619883,10,0.0,0.0935672514619883,1
1.0,0.0,-3.0,0.2230603448275862,3,0.0,-0.2230603448275862,0
-3.0,-15.0,-8.0,0.07161803713527848,-3,0.0,-0.07161803713527848,0
1.0,0.0,-1.0,0.1724137931034483,0,0.0,-0.17241379310344826,0
1.0,0.0,-2.0,0.17931034482758623,1,0.0,-0.17931034482758618,1
0.0,0.0,-6.0,0.1605603448275862,3,0.0,-0.1605603448275862,0
1.0,0.0,-7.0,0.2543103448275862,-13,0.0,-0.2543103448275862,0
2.0,20.0,-3.0,0.04597701149425282,4,0.0,-0.04597701149425287,1
2.0,0.0,0.0,0.06681034482758619,-13,0.0,-0.06681034482758619,1
2.0,0.0,-3.0,0.21931034482758616,21,0.04,-0.2593103448275862,0
-5.0,-15.0,-7.0,0.027958993476234872,8,0.0,-0.027958993476234817,0
2.0,-15.0,-4.0,0.01567398119122254,-7,0.0,-0.01567398119122254,1
0.0,0.0,-1.0,0.043749999999999956,2,0.0,-0.04375000000000001,0
0.0,0.0,-3.0,-0.07272727272727275,-8,0.0,0.0727272727272727,1
0.0,0.0,0.0,-0.11372549019607847,21,0.0,0.11372549019607842,1
0.0,-15.0,-1.0,-0.15294117647058825,-13,0.0,0.15294117647058825,1
0.0,0.0,1.0,-0.043243243243243246,7,0.0,0.043243243243243246,1
-1.0,0.0,1.0,0.02893518518518523,5,0.0,-0.028935185185185175,0
1.0,0.0,1.0,-0.1064814814814814,-3,0.041666666666666664,0.06481481481481483,1
1.0,0.0,1.0,-0.08148148148148149,-12,0.0,0.08148148148148149,1
-1.0,0.0,2.0,-0.014814814814814725,3,0.0,0.014814814814814836,1
0.0,0.0,0.0,-0.1801994301994302,25,0.019230769230769232,0.16096866096866097,1
-1.0,20.0,-1.0,-0.2148148148148148,-12,0.0,0.21481481481481485,1
1.0,0.0,-2.0,-0.014814814814814725,-12,0.0,0.014814814814814836,1
0.0,15.0,2.0,0.16193181818181823,10,0.0,-0.16193181818181818,0
-2.0,0.0,-4.0,0.14426877470355737,1,0.0,-0.1442687747035573,0
-1.0,0.0,-1.0,0.1289926289926291,15,0.0,-0.12899262899262898,0
-3.0,0.0,-4.0,-0.05023923444976075,-3,0.0,0.05023923444976075,1
-2.0,0.0,-1.0,-0.18181818181818177,-10,0.0,0.18181818181818182,1
2.0,15.0,3.0,0.06955645161290325,1,0.0,-0.06955645161290322,1
1.0,0.0,1.0,0.18035190615835783,-9,0.0,-0.18035190615835778,0
0.0,0.0,-3.0,0.05189340813464238,-8,0.0,-0.051893408134642355,0
0.0,0.0,-1.0,-0.0014662756598240456,-9,0.045454545454545456,-0.043988269794721396,1
1.0,0.0,-2.0,-0.07048984468339303,-4,0.0,0.07048984468339306,0
0.0,0.0,3.0,-0.11902113459399333,-2,0.0,0.11902113459399336,1
1.0,15.0,0.0,-0.024193548387096753,-3,0.03571428571428571,-0.011520737327188946,1
-3.0,0.0,-3.0,0.1348973607038123,-9,0.0,-0.1348973607038123,1
3.0,0.0,3.0,-0.0014662756598240456,-9,0.0,0.0014662756598240456,1
1.0,0.0,1.0,0.0035842293906810374,-4,0.0,-0.0035842293906810097,1
2.0,15.0,1.0,0.1966911764705882,-2,0.0,-0.19669117647058826,0
