,Winners,Losers
1812,Serghei Spivac,Carlos Felipe
1813,Calvin Kattar,Dan Ige
1814,Tim Elliott,Ryan Benoit
1815,Jimmie Rivera,Cody Stamann
1816,Taila Santos,Molly McCann
1817,Mounir Lazzez,Abdul Razak Alhassan
1818,Khamzat Chimaev,John Phillips
1819,Lerone Murphy,Ricardo Ramos
1820,Modestas Bukauskas,Andreas Michailidis
1821,Jared Gordon,Chris Fishgold
1822,Liana Jojua,Diana Belbita
1823,Jack Shore,Aaron Phillips
1824,Kamaru Usman,Jorge Masvidal
1825,Alexander Volkanovski,Max Holloway
1826,Petr Yan,Jose Aldo
1827,Rose Namajunas,Jessica Andrade
1828,Amanda Ribas,Paige VanZant
1829,Jiri Prochazka,Volkan Oezdemir
1830,Muslim Salikhov,Elizeu Zaleski dos Santos
1831,Makwan Amirkhani,Danny Henry
1832,Leonardo Santos,Roman Bogatov
1833,Marcin Tybura,Maxim Grishin
1834,Raulian Paiva,Zhalgas Zhumagulov
1835,Karol Rosa,Vanessa Melo
1836,Davey Grant,Martin Day
1837,Dustin Poirier,Dan Hooker
1838,Mike Perry,Mickey Gall
1839,Maurice Greene,Gian Villante
1840,Brendan Allen,Kyle Daukaus
1841,Takashi Sato,Jason Witt
1842,Julian Erosa,Sean Woodson
1843,Khama Worthy,Luis Pena
1844,Tanner Boser,Philipe Lins
1845,Kay Hansen,Jinh Yu Frey
1846,Youssef Zalal,Jordan Griffin
1847,Curtis Blaydes,Alexander Volkov
1848,Josh Emmett,Shane Burgos
1849,Raquel Pennington,Marion Reneau
1850,Belal Muhammad,Lyman Good
1851,Jim Miller,Roosevelt Roberts
1852,Bobby Green,Clay Guida
1853,Tecia Torres,Brianna Fortino
1854,Marc-Andre Barriault,Oskar Piechota
1855,Gillian Robertson,Cortney Casey
1856,Justin Jaynes,Frank Camacho
1857,Lauren Murphy,Roxanne Modafferi
1858,Austin Hubbard,Max Rohskopf
1859,Cynthia Calvillo,Jessica Eye
1860,Marvin Vettori,Karl Roberson
1861,Charles Rosa,Kevin Aguilar
1862,Andre Fili,Charles Jourdain
1863,Jordan Espinosa,Mark De La Rosa
1864,Mariya Agapova,Hannah Cifers
1865,Merab Dvalishvili,Gustavo Lopez
1866,Julia Avila,Gina Mazany
1867,Tyson Nam,Zarrukh Adashev
1868,Christian Aguilera,Anthony Ivy
1869,Amanda Nunes,Felicia Spencer
1870,Cody Garbrandt,Raphael Assuncao
1871,Aljamain Sterling,Cory Sandhagen
1872,Neil Magny,Anthony Rocco Martin
1873,Sean O'Malley,Eddie Wineland
1874,Alex Caceres,Chase Hooper
1875,Ian Heinisch,Gerald Meerschaert
1876,Cody Stamann,Brian Kelleher
1877,Maki Pitolo,Charles Byrd
1878,Alex Perez,Jussier Formiga
1879,Devin Clark,Alonzo Menifield
1880,Herbert Burns,Evan Dunham
1881,Gilbert Burns,Tyron Woodley
1882,Augusto Sakai,Blagoy Ivanov
1883,Billy Quarantillo,Spike Carlyle
1884,Roosevelt Roberts,Brok Weaver
1885,Mackenzie Dern,Hannah Cifers
1886,Katlyn Cerminara,Antonina Shevchenko
1887,Daniel Rodriguez,Gabe Green
1888,Jamahal Hill,Klidson Abreu
1889,Brandon Royval,Tim Elliott
1890,Casey Kenney,Louis Smolka
1891,Chris Gutierrez,Vince Morales
1892,Alistair Overeem,Walt Harris
1893,Claudia Gadelha,Angela Hill
1894,Dan Ige,Edson Barboza
1895,Krzysztof Jotko,Eryk Anders
1896,Song Yadong,Marlon Vera
1897,Miguel Baeza,Matt Brown
1898,Kevin Holland,Anthony Hernandez
1899,Giga Chikadze,Irwin Rivera
1900,Nate Landwehr,Darren Elkins
1901,Cortney Casey,Mara Romero Borella
1902,Rodrigo Nascimento,Don'Tale Mayes
1903,Glover Teixeira,Anthony Smith
1904,Ben Rothwell,Ovince Saint Preux
1905,Drew Dober,Alexander Hernandez
1906,Ricky Simon,Ray Borg
1907,Andrei Arlovski,Philipe Lins
1908,Thiago Moises,Michael Johnson
1909,Sijara Eubanks,Sarah Moras
1910,Omar Morales,Gabriel Benitez
1911,Brian Kelleher,Hunter Azure
1912,Chase Sherman,Ike Villanueva
1913,Justin Gaethje,Tony Ferguson
1914,Henry Cejudo,Dominick Cruz
1915,Francis Ngannou,Jairzinho Rozenstruik
1916,Calvin Kattar,Jeremy Stephens
1917,Greg Hardy,Yorgan De Castro
1918,Anthony Pettis,Donald Cerrone
1919,Aleksei Oleinik,Fabricio Werdum
1920,Carla Esparza,Michelle Waterson-Gomez
1921,Vicente Luque,Niko Price
1922,Bryce Mitchell,Charles Rosa
1923,Ryan Spann,Sam Alvey
1924,Charles Oliveira,Kevin Lee
1925,Gilbert Burns,Demian Maia
1926,Renato Moicano,Damir Hadzovic
1927,Nikita Krylov,Johnny Walker
1928,Francisco Trinaldo,John Makdessi
1929,Brandon Moreno,Jussier Formiga
1930,Amanda Ribas,Randa Markos
1931,Elizeu Zaleski dos Santos,Aleksei Kunchenko
1932,Rani Yahya,Enrique Barzola
1933,Maryna Moroz,Mayra Bueno Silva
1934,David Dvorak,Bruno Silva
1935,Bea Malecki,Veronica Hardy
1936,Israel Adesanya,Yoel Romero
1937,Zhang Weili,Joanna Jedrzejczyk
1938,Beneil Dariush,Drakkar Klose
1939,Neil Magny,Li Jingliang
1940,Alex Oliveira,Max Griffin
1941,Sean O'Malley,Jose Quinonez
1942,Mark Madsen,Austin Hubbard
1943,Rodolfo Vieira,Saparbeg Safarov
1944,Gerald Meerschaert,Deron Winn
1945,Giga Chikadze,Jamall Emmers
1946,Batgerel Danaa,Guido Cannetti
1947,Deiveson Figueiredo,Joseph Benavidez
1948,Felicia Spencer,Zarah Fairn
1949,Magomed Ankalaev,Ion Cutelaba
1950,Megan Anderson,Norma Dumont
1951,Grant Dawson,Darrick Minner
1952,Kyler Phillips,Gabriel Silva
1953,Brendan Allen,Tom Breese
1954,Marcin Tybura,Serghei Spivac
1955,Luis Pena,Steve Garcia
1956,Jordan Griffin,TJ Brown
1957,Spike Carlyle,Aalon Cruz
1958,Sean Brady,Ismail Naurdiev
1959,Dan Hooker,Paul Felder
1960,Jimmy Crute,Michal Oleksiejczuk
1961,Yan Xiaonan,Karolina Kowalkiewicz
1962,Marcos Rogerio de Lima,Ben Sosoli
1963,Brad Riddell,Magomed Mustafaev
1964,Zubaira Tukhugov,Kevin Aguilar
1965,Jalin Turner,Josh Culibao
1966,Jake Matthews,Emil Meek
1967,Song Kenan,Callan Potter
1968,Kai Kara-France,Tyson Nam
1969,Angela Hill,Loma Lookboonmee
1970,Priscila Cachoeira,Shana Dobson
1971,Jan Blachowicz,Corey Anderson
1972,Diego Sanchez,Michel Pereira
1973,Montana De La Rosa,Mara Romero Borella
1974,Brok Weaver,Kazula Vargas
1975,Ray Borg,Rogerio Bontorin
1976,Lando Vannata,Yancy Medeiros
1977,Daniel Rodriguez,Tim Means
1978,John Dodson,Nathaniel Wood
1979,Scott Holtzman,Jim Miller
1980,Devin Clark,Dequan Townsend
1981,Merab Dvalishvili,Casey Kenney
1982,Macy Chiasson,Shanna Young
1983,Raulian Paiva,Mark De La Rosa
1984,Jon Jones,Dominick Reyes
1985,Valentina Shevchenko,Katlyn Cerminara
1986,Justin Tafa,Juan Adams
1987,Dan Ige,Mirsad Bektic
1988,Derrick Lewis,Ilir Latifi
1989,Trevin Giles,James Krause
1990,Lauren Murphy,Andrea Lee
1991,Khaos Williams,Alex Morono
1992,Mario Bautista,Miles Johns
1993,Domingo Pilarte,Journey Newson
1994,Andre Ewell,Jonathan Martinez
1995,Youssef Zalal,Austin Lingo
1996,Curtis Blaydes,Junior Dos Santos
1997,Michael Chiesa,Rafael Dos Anjos
1998,Alex Perez,Jordan Espinosa
1999,Angela Hill,Hannah Cifers
2000,Jamahal Hill,Darko Stosic
2001,Bevon Lewis,Dequan Townsend
2002,Arnold Allen,Nik Lentz
2003,Justine Kish,Lucie Pudilova
2004,Montel Jackson,Felipe Colares
2005,Sara McMann,Lina Lansberg
2006,Brett Johns,Tony Gravely
2007,Herbert Burns,Nate Landwehr
2008,Conor McGregor,Donald Cerrone
2009,Holly Holm,Raquel Pennington
2010,Aleksei Oleinik,Maurice Greene
2011,Brian Kelleher,Ode Osbourne
2012,Diego Ferreira,Anthony Pettis
2013,Roxanne Modafferi,Maycee Barber
2014,Sodiq Yusuff,Andre Fili
2015,Askar Askarov,Tim Elliott
2016,Drew Dober,Nasrat Haqparast
2017,Aleksa Camur,Justin Ledet
2018,Sabina Mazo,JJ Aldrich
2019,Chan Sung Jung,Frankie Edgar
2020,Volkan Oezdemir,Aleksandar Rakic
2021,Charles Jourdain,Dooho Choi
2022,Da Woon Jung,Mike Rodriguez
2023,JunYong Park,Marc-Andre Barriault
2024,Kyung Ho Kang,Pingyuan Liu
2025,Ciryl Gane,Tanner Boser
2026,SeungWoo Choi,Suman Mokhtarian
2027,Omar Morales,Dong Hyun Ma
2028,Alexandre Pantoja,Matt Schnell
2029,Raoni Barcelos,Said Nurmagomedov
2030,Amanda Lemos,Miranda Granger
2031,Alatengheili,Ryan Benoit
2032,Kamaru Usman,Colby Covington
2033,Alexander Volkanovski,Max Holloway
2034,Amanda Nunes,Germaine de Randamie
2035,Marlon Moraes,Jose Aldo
2036,Petr Yan,Urijah Faber
2037,Geoff Neal,Mike Perry
2038,Irene Aldana,Ketlen Vieira
2039,Omari Akhmedov,Ian Heinisch
2040,Matt Brown,Ben Saunders
2041,Chase Hooper,Daniel Teymur
2042,Brandon Moreno,Kai Kara-France
2043,Jessica Eye,Viviane Araujo
2044,Punahele Soriano,Oskar Piechota
2045,Jairzinho Rozenstruik,Alistair Overeem
2046,Marina Rodriguez,Cynthia Calvillo
2047,Ben Rothwell,Stefan Struve
2048,Aspen Ladd,Yana Santos
2049,Cody Stamann,Song Yadong
2050,Rob Font,Ricky Simon
2051,Tim Means,Thiago Alves
2052,Billy Quarantillo,Jacob Kilburn
2053,Bryce Mitchell,Matt Sayles
2054,Joe Solecki,Matt Wiman
2055,Virna Jandiroba,Mallory Martin
2056,Makhmud Muradov,Trevor Smith
2057,Jan Blachowicz,Jacare Souza
2058,Mauricio Rua,Paul Craig
2059,Charles Oliveira,Jared Gordon
2060,Andre Muniz,Antonio Arroyo
2061,Wellington Turman,Markus Perez
2062,James Krause,Sergio Moraes
2063,Ricardo Ramos,Eduardo Garagorri
2064,Francisco Trinaldo,Bobby Green
2065,Randy Brown,Warlley Alves
2066,Douglas Silva de Andrade,Renan Barao
2067,Ariane Lipski,Isabela de Padua
2068,Tracy Cortez,Vanessa Melo
2069,Zabit Magomedsharipov,Calvin Kattar
2070,Alexander Volkov,Greg Hardy
2071,Danny Roberts,Zelim Imadaev
2072,Ed Herman,Khadis Ibragimov
2073,Anthony Rocco Martin,Ramazan Emeev
2074,Shamil Gamzatov,Klidson Abreu
2075,Magomed Ankalaev,Dalcha Lungiambula
2076,Rustam Khabilov,Sergey Khandozhko
2077,Karl Roberson,Roman Kopylov
2078,David Zawada,Abubakar Nurmagomedov
2079,Roosevelt Roberts,Alexander Yakovlev
2080,Pannie Kianzad,Jessica-Rose Clark
2081,Davey Grant,Grigory Popov
2082,Jorge Masvidal,Nate Diaz
2083,Darren Till,Kelvin Gastelum
2084,Stephen Thompson,Vicente Luque
2085,Derrick Lewis,Blagoy Ivanov
2086,Kevin Lee,Gregor Gillespie
2087,Corey Anderson,Johnny Walker
2088,Shane Burgos,Makwan Amirkhani
2089,Edmen Shahbazyan,Brad Tavares
2090,Jairzinho Rozenstruik,Andrei Arlovski
2091,Katlyn Cerminara,Jennifer Maia
2092,Lyman Good,Chance Rencountre
2093,Hakeem Dawodu,Julio Arce
2094,Demian Maia,Ben Askren
2095,Stevie Ray,Michael Johnson
2096,Beneil Dariush,Frank Camacho
2097,Ciryl Gane,Don'Tale Mayes
2098,Muslim Salikhov,Laureano Staropoli
2099,Randa Markos,Ashley Yoder
2100,Rafael Fiziev,Alex White
2101,Movsar Evloev,Enrique Barzola
2102,Sergei Pavlovich,Maurice Greene
2103,Loma Lookboonmee,Aleksandra Albu
2104,Raphael Pessoa,Jeff Hughes
2105,Dominick Reyes,Chris Weidman
2106,Yair Rodriguez,Jeremy Stephens
2107,Greg Hardy,Ben Sosoli
2108,Joe Lauzon,Jonathan Pearce
2109,Maycee Barber,Gillian Robertson
2110,Darren Stewart,Deron Winn
2111,Charles Rosa,Manny Bermudez
2112,Molly McCann,Diana Belbita
2113,Sean Woodson,Kyle Bochniak
2114,Randy Costa,Boston Salmon
2115,Sean Brady,Court McGee
2116,Brendan Allen,Kevin Holland
2117,Tanner Boser,Daniel Spitz
2118,Joanna Jedrzejczyk,Michelle Waterson-Gomez
2119,Cub Swanson,Kron Gracie
2120,Niko Price,James Vick
2121,Amanda Ribas,Mackenzie Dern
2122,Matt Frevola,Luis Pena
2123,Eryk Anders,Gerald Meerschaert
2124,Ryan Spann,Devin Clark
2125,Mike Davis,Thomas Gifford
2126,Alex Morono,Max Griffin
2127,Deiveson Figueiredo,Tim Elliott
2128,Marlon Vera,Andre Ewell
2129,Miguel Baeza,Hector Aldana
2130,Marvin Vettori,Andrew Sanchez
2131,JJ Aldrich,Lauren Mueller
2132,Israel Adesanya,Robert Whittaker
2133,Dan Hooker,Al Iaquinta
2134,Serghei Spivac,Tai Tuivasa
2135,Dhiego Lima,Luke Jumeau
2136,Yorgan De Castro,Justin Tafa
2137,Jake Matthews,Rostem Akman
2138,Callan Potter,Maki Pitolo
2139,Brad Riddell,Jamie Mullarkey
2140,Megan Anderson,Zarah Fairn
2141,Ji Yeon Kim,Nadia Kassem
2142,Khalid Taha,Bruno Silva
2143,Jared Cannonier,Jack Hermansson
2144,Mark Madsen,Danilo Belluardo
2145,Gilbert Burns,Gunnar Nelson
2146,Ion Cutelaba,Khalil Rountree Jr.
2147,Ovince Saint Preux,Michal Oleksiejczuk
2148,Nicolas Dalby,Alex Oliveira
2149,John Phillips,Alen Amedovski
2150,Makhmud Muradov,Alessio Di Chirico
2151,Ismail Naurdiev,Siyar Bahadurzada
2152,Giga Chikadze,Brandon Davis
2153,Lina Lansberg,Macy Chiasson
2154,Marc Diakiese,Lando Vannata
2155,Jack Shore,Nohelin Hernandez
2156,Yair Rodriguez,Jeremy Stephens
2157,Carla Esparza,Alexa Grasso
2158,Brandon Moreno,Askar Askarov
2159,Irene Aldana,Vanessa Melo
2160,Steven Peterson,Martin Bravo
2161,Jose Quinonez,Carlos Huachin
2162,Kyle Nelson,Marco Polo Reyes
2163,Angela Hill,Ariane Carnelossi
2164,Sergio Pettis,Tyson Nam
2165,Paul Craig,Vinicius Moreira
2166,Bethe Correia,Sijara Eubanks
2167,Claudio Puelles,Marcos Mariano
2168,Justin Gaethje,Donald Cerrone
2169,Glover Teixeira,Nikita Krylov
2170,Todd Duffee,Jeff Hughes
2171,Tristan Connelly,Michel Pereira
2172,Uriah Hall,Antonio Carlos Junior
2173,Misha Cirkunov,Jimmy Crute
2174,Augusto Sakai,Marcin Tybura
2175,Miles Johns,Cole Smith
2176,Hunter Azure,Brad Katona
2177,Chas Skelly,Jordan Griffin
2178,Louis Smolka,Ryan MacDonald
2179,Austin Hubbard,Kyle Prepolec
2180,Khabib Nurmagomedov,Dustin Poirier
2181,Paul Felder,Edson Barboza
2182,Islam Makhachev,Davi Ramos
2183,Curtis Blaydes,Shamil Abdurakhimov
2184,Diego Ferreira,Mairbek Taisumov
2185,Joanne Wood,Andrea Lee
2186,Zubaira Tukhugov,Lerone Murphy
2187,Sarah Moras,Liana Jojua
2188,Ottman Azaitar,Teemu Packalen
2189,Belal Muhammad,Takashi Sato
2190,Muslim Salikhov,Nordine Taleb
2191,Omari Akhmedov,Zak Cummings
2192,Don Madge,Fares Ziam
2193,Zhang Weili,Jessica Andrade
2194,Li Jingliang,Elizeu Zaleski dos Santos
2195,Kai Kara-France,Mark De La Rosa
2196,Song Kenan,Derrick Krantz
2197,Mizuki,Wu Yanan
2198,Anthony Hernandez,JunYong Park
2199,Sumudaerji,Andre Soukhamthath
2200,Da Woon Jung,Khadis Ibragimov
2201,Damir Ismagulov,Thiago Moises
2202,Alatengheili,Batgerel Danaa
2203,Karol Rosa,Lara Procopio
2204,Stipe Miocic,Daniel Cormier
2205,Nate Diaz,Anthony Pettis
2206,Paulo Costa,Yoel Romero
2207,Sodiq Yusuff,Gabriel Benitez
2208,Derek Brunson,Ian Heinisch
2209,Khama Worthy,Devonte Smith
2210,Cory Sandhagen,Raphael Assuncao
2211,Drakkar Klose,Christos Giagos
2212,Casey Kenney,Manny Bermudez
2213,Hannah Cifers,Jodie Esquibel
2214,Kyung Ho Kang,Brandon Davis
2215,Sabina Mazo,Shana Dobson
2216,Valentina Shevchenko,Liz Carmouche
2217,Vicente Luque,Mike Perry
2218,Eduardo Garagorri,Humberto Bandenay
2219,Volkan Oezdemir,Ilir Latifi
2220,Rodolfo Vieira,Oskar Piechota
2221,Enrique Barzola,Bobby Moffett
2222,Gilbert Burns,Aleksei Kunchenko
2223,Ciryl Gane,Raphael Pessoa
2224,Marina Rodriguez,Tecia Torres
2225,Rogerio Bontorin,Raulian Paiva
2226,Chris Gutierrez,Geraldo de Freitas
2227,Alex Da Silva,Kazula Vargas
2228,Veronica Hardy,Polyana Viana
2229,Colby Covington,Robbie Lawler
2230,Jim Miller,Clay Guida
2231,Nasrat Haqparast,Joaquim Silva
2232,Gerald Meerschaert,Trevin Giles
2233,Scott Holtzman,Dong Hyun Ma
2234,Kennedy Nzechukwu,Darko Stosic
2235,Mickey Gall,Salim Touahri
2236,Antonina Shevchenko,Lucie Pudilova
2237,Matt Schnell,Jordan Espinosa
2238,Lauren Murphy,Mara Romero Borella
2239,Claudio Silva,Cole Williams
2240,Miranda Granger,Hannah Goldy
2241,Max Holloway,Frankie Edgar
2242,Cristiane Justino,Felicia Spencer
2243,Geoff Neal,Niko Price
2244,Arman Tsarukyan,Olivier Aubin-Mercier
2245,Krzysztof Jotko,Marc-Andre Barriault
2246,Viviane Araujo,Alexis Davis
2247,Hakeem Dawodu,Yoshinori Horie
2248,Gavin Tucker,SeungWoo Choi
2249,Deiveson Figueiredo,Alexandre Pantoja
2250,Gillian Robertson,Sarah Frota
2251,Erik Koch,Kyle Stewart
2252,Leon Edwards,Rafael Dos Anjos
2253,Walt Harris,Aleksei Oleinik
2254,Greg Hardy,Juan Adams
2255,Dan Hooker,James Vick
2256,Alexander Hernandez,Francisco Trinaldo
2257,Andrei Arlovski,Ben Rothwell
2258,Alex Caceres,Steven Peterson
2259,Raquel Pennington,Irene Aldana
2260,Klidson Abreu,Sam Alvey
2261,Jennifer Maia,Roxanne Modafferi
2262,Ray Borg,Gabriel Silva
2263,Mario Bautista,Jin Soo Son
2264,Felipe Colares,Domingo Pilarte
2265,Germaine de Randamie,Aspen Ladd
2266,Urijah Faber,Ricky Simon
2267,Josh Emmett,Mirsad Bektic
2268,Karl Roberson,Wellington Turman
2269,Marvin Vettori,Cezar Ferreira
2270,Mike Rodriguez,John Allan
2271,Andre Fili,Sheymon Moraes
2272,Julianna Pena,Nicco Montano
2273,Ryan Hall,Darren Elkins
2274,Jonathan Martinez,Pingyuan Liu
2275,Brianna Fortino,Livinha Souza
2276,Benito Lopez,Vince Morales
2277,Jon Jones,Thiago Santos
2278,Amanda Nunes,Holly Holm
2279,Jorge Masvidal,Ben Askren
2280,Jan Blachowicz,Luke Rockhold
2281,Michael Chiesa,Diego Sanchez
2282,Arnold Allen,Gilbert Melendez
2283,Marlon Vera,Nohelin Hernandez
2284,Claudia Gadelha,Randa Markos
2285,Song Yadong,Alejandro Perez
2286,Edmen Shahbazyan,Jack Marshman
2287,Chance Rencountre,Ismail Naurdiev
2288,Julia Avila,Pannie Kianzad
2289,Francis Ngannou,Junior Dos Santos
2290,Joseph Benavidez,Jussier Formiga
2291,Demian Maia,Anthony Rocco Martin
2292,Vinc Pichel,Roosevelt Roberts
2293,Drew Dober,Marco Polo Reyes
2294,Alonzo Menifield,Paul Craig
2295,Ricardo Ramos,Journey Newson
2296,Eryk Anders,Vinicius Moreira
2297,Jared Gordon,Dan Moret
2298,Dalcha Lungiambula,Dequan Townsend
2299,Amanda Ribas,Emily Whitmire
2300,Maurice Greene,Junior Albini
2301,Chan Sung Jung,Renato Moicano
2302,Randy Brown,Bryan Barberena
2303,Andre Ewell,Anderson Dos Santos
2304,Andrea Lee,Montana De La Rosa
2305,Kevin Holland,Alessio Di Chirico
2306,Dan Ige,Kevin Aguilar
2307,Ashley Yoder,Syuri Kondo
2308,Luis Pena,Matt Wiman
2309,Jairzinho Rozenstruik,Allen Crowder
2310,Molly McCann,Ariane Lipski
2311,Deron Winn,Eric Spicely
2312,Henry Cejudo,Marlon Moraes
2313,Valentina Shevchenko,Jessica Eye
2314,Tony Ferguson,Donald Cerrone
2315,Petr Yan,Jimmie Rivera
2316,Blagoy Ivanov,Tai Tuivasa
2317,Tatiana Suarez,Nina Nunes
2318,Aljamain Sterling,Pedro Munhoz
2319,Alexa Grasso,Karolina Kowalkiewicz
2320,Calvin Kattar,Ricardo Lamas
2321,Yan Xiaonan,Angela Hill
2322,Darren Stewart,Bevon Lewis
2323,Eddie Wineland,Grigory Popov
2324,Katlyn Cerminara,Joanne Wood
2325,Anthony Smith,Alexander Gustafsson
2326,Aleksandar Rakic,Jimi Manuwa
2327,Makwan Amirkhani,Chris Fishgold
2328,Christos Giagos,Damir Hadzovic
2329,Daniel Teymur,Sung Bin Jo
2330,Sergey Khandozhko,Rostem Akman
2331,Lina Lansberg,Tonya Evinger
2332,Leonardo Santos,Stevie Ray
2333,Frank Camacho,Nick Hein
2334,Bea Malecki,Duda Santana
2335,Devin Clark,Darko Stosic
2336,Joel Alvarez,Danilo Belluardo
2337,Rafael Dos Anjos,Kevin Lee
2338,Ian Heinisch,Antonio Carlos Junior
2339,Felicia Spencer,Megan Anderson
2340,Vicente Luque,Derrick Krantz
2341,Charles Oliveira,Nik Lentz
2342,Davi Ramos,Austin Hubbard
2343,Aspen Ladd,Sijara Eubanks
2344,Desmond Green,Charles Jourdain
2345,Michel Pereira,Danny Roberts
2346,Grant Dawson,Michael Trizano
2347,Ed Herman,Patrick Cummins
2348,Zak Cummings,Trevin Giles
2349,Julio Arce,Julian Erosa
2350,Jessica Andrade,Rose Namajunas
2351,Jared Cannonier,Anderson Silva
2352,Alexander Volkanovski,Jose Aldo
2353,Laureano Staropoli,Thiago Alves
2354,Irene Aldana,Bethe Correia
2355,Ryan Spann,Rogerio Nogueira
2356,Thiago Moises,Kurt Holobaugh
2357,Warlley Alves,Sergio Moraes
2358,Clay Guida,BJ Penn
2359,Luana Carolina,Priscila Cachoeira
2360,Raoni Barcelos,Carlos Huachin
2361,Viviane Araujo,Talita Bernardo
2362,Donald Cerrone,Al Iaquinta
2363,Derek Brunson,Elias Theodorou
2364,Shane Burgos,Cub Swanson
2365,Merab Dvalishvili,Brad Katona
2366,Walt Harris,Serghei Spivac
2367,Andrew Sanchez,Marc-Andre Barriault
2368,Macy Chiasson,Sarah Moras
2369,Vince Morales,Aiemann Zahabi
2370,Nordine Taleb,Kyle Prepolec
2371,Matt Sayles,Kyle Nelson
2372,Arjan Bhullar,Juan Adams
2373,Cole Smith,Mitch Gagnon
2374,Jack Hermansson,Jacare Souza
2375,Greg Hardy,Dmitrii Smoliakov
2376,Mike Perry,Alex Oliveira
2377,Glover Teixeira,Ion Cutelaba
2378,Cory Sandhagen,John Lineker
2379,Roosevelt Roberts,Thomas Gifford
2380,Takashi Sato,Ben Saunders
2381,Augusto Sakai,Andrei Arlovski
2382,Carla Esparza,Virna Jandiroba
2383,Gilbert Burns,Mike Davis
2384,Jim Miller,Jason Gonzalez
2385,Angela Hill,Jodie Esquibel
2386,Dhiego Lima,Court McGee
2387,Alistair Overeem,Aleksei Oleinik
2388,Islam Makhachev,Arman Tsarukyan
2389,Sergei Pavlovich,Marcelo Golm
2390,Roxanne Modafferi,Antonina Shevchenko
2391,Krzysztof Jotko,Alen Amedovski
2392,Movsar Evloev,SeungWoo Choi
2393,Sultan Aliev,Keita Nakamura
2394,Alexander Yakovlev,Alex Da Silva
2395,Shamil Abdurakhimov,Marcin Tybura
2396,Michal Oleksiejczuk,Gadzhimurad Antigulov
2397,Magomed Mustafaev,Rafael Fiziev
2398,Dustin Poirier,Max Holloway
2399,Israel Adesanya,Kelvin Gastelum
2400,Khalil Rountree Jr.,Eryk Anders
2401,Dwight Grant,Alan Jouban
2402,Nikita Krylov,Ovince Saint Preux
2403,Matt Frevola,Jalin Turner
2404,Alexandre Pantoja,Wilson Reis
2405,Max Griffin,Zelim Imadaev
2406,Khalid Taha,Boston Salmon
2407,Belal Muhammad,Curtis Millender
2408,Montel Jackson,Andre Soukhamthath
2409,Poliana Botelho,Lauren Mueller
2410,Brandon Davis,Randy Costa
2411,Justin Gaethje,Edson Barboza
2412,Jack Hermansson,David Branch
2413,Josh Emmett,Michael Johnson
2414,Michelle Waterson-Gomez,Karolina Kowalkiewicz
2415,Paul Craig,Kennedy Nzechukwu
2416,Sodiq Yusuff,Sheymon Moraes
2417,Marina Rodriguez,Jessica Aguilar
2418,Desmond Green,Ross Pearson
2419,Kevin Aguilar,Enrique Barzola
2420,Kevin Holland,Gerald Meerschaert
2421,Casey Kenney,Ray Borg
2422,Maryna Moroz,Sabina Mazo
2423,Alex Perez,Mark De La Rosa
2424,Anthony Pettis,Stephen Thompson
2425,Curtis Blaydes,Justin Willis
2426,John Makdessi,Jesus Pinedo
2427,Jussier Formiga,Deiveson Figueiredo
2428,Luis Pena,Steven Peterson
2429,Maycee Barber,JJ Aldrich
2430,Bryce Mitchell,Bobby Moffett
2431,Marlon Vera,Frankie Saenz
2432,Jennifer Maia,Alexis Davis
2433,Randa Markos,Angela Hill
2434,Chris Gutierrez,Ryan MacDonald
2435,Jordan Espinosa,Eric Shelton
2436,Jorge Masvidal,Darren Till
2437,Leon Edwards,Gunnar Nelson
2438,Dominick Reyes,Volkan Oezdemir
2439,Nathaniel Wood,Jose Quinonez
2440,Claudio Silva,Danny Roberts
2441,Jack Marshman,John Phillips
2442,Arnold Allen,Jordan Rinaldi
2443,Marc Diakiese,Joe Duffy
2444,Saparbeg Safarov,Nicolae Negumereanu
2445,Dan Ige,Danny Henry
2446,Molly McCann,Priscila Cachoeira
2447,Mike Grundy,Nad Narimani
2448,Junior Dos Santos,Derrick Lewis
2449,Elizeu Zaleski dos Santos,Curtis Millender
2450,Niko Price,Tim Means
2451,Blagoy Ivanov,Ben Rothwell
2452,Beneil Dariush,Drew Dober
2453,Omari Akhmedov,Tim Boetsch
2454,Anthony Rocco Martin,Sergio Moraes
2455,Yana Santos,Marion Reneau
2456,Grant Dawson,Julian Erosa
2457,Maurice Greene,Jeff Hughes
2458,Matt Schnell,Louis Smolka
2459,Alex Morono,Zak Ottow
2460,Alex White,Dan Moret
2461,Jon Jones,Anthony Smith
2462,Kamaru Usman,Tyron Woodley
2463,Ben Askren,Robbie Lawler
2464,Zhang Weili,Tecia Torres
2465,Pedro Munhoz,Cody Garbrandt
2466,Zabit Magomedsharipov,Jeremy Stephens
2467,Johnny Walker,Misha Cirkunov
2468,Cody Stamann,Alejandro Perez
2469,Diego Sanchez,Mickey Gall
2470,Edmen Shahbazyan,Charles Byrd
2471,Macy Chiasson,Gina Mazany
2472,Hannah Cifers,Polyana Viana
2473,Thiago Santos,Jan Blachowicz
2474,Stefan Struve,Marcos Rogerio de Lima
2475,Michal Oleksiejczuk,Gian Villante
2476,Liz Carmouche,Lucie Pudilova
2477,Petr Yan,John Dodson
2478,Magomed Ankalaev,Klidson Abreu
2479,Dwight Grant,Carlo Pedersoli Jr.
2480,Chris Fishgold,Daniel Teymur
